start	end	distance_ratio	inserted	mulan_index	track	style	asr_text	final_text
19.320	22.760	0.306	0	-1	1	Default	La ville du mois de mai a des lèvres	La ciudad del mes de mayo tiene labios
22.760	25.760	0.778	0	-1	0	OverlapNew	gonflées.	- ¿Qué?
22.760	25.760	0.306	0	-1	1	OverlapOld	La ville du mois de mai a des lèvres	La ciudad del mes de mayo tiene labios
26.519	29.160	0.265	0	-1	1	Default	La belle de mer vous invite à vous	La hermosa mariquita te invita a ti
29.160	32.160	0.794	0	-1	0	OverlapNew	coucher.	Acostarse.
29.160	32.160	0.265	0	-1	1	OverlapOld	La belle de mer vous invite à vous	La hermosa mariquita te invita a ti
35.480	37.360	0.739	0	-1	1	Default	sont là	Están aquí.
37.360	41.320	0.429	0	-1	0	OverlapNew	si dans la	si en la
37.360	41.320	0.739	0	-1	1	OverlapOld	sont là	Están aquí.
47.600	53.039	0.750	0	-1	0	Default	onapend à danser et pour l'opletis	onapend para bailar y para el opletis
56.559	59.760	0.700	0	-1	1	Default	solide algos et le poireau viennent	sólido algos y pera vienen
59.760	62.719	0.636	0	-1	0	OverlapNew	tenter la	tentarla
59.760	62.719	0.700	0	-1	1	OverlapOld	solide algos et le poireau viennent	sólido algos y pera vienen
63.559	67.560	0.000	0	8	1	Default	Malgré son sourire et son air engageant,	A pesar de su sonrisa y su aspecto atractivo
67.560	71.840	0.000	0	9	1	OverlapNew	la belle de Cadix n'y voit aucun amant.	La Bella de Cádiz no ve a ningún amante.
67.560	71.840	0.000	0	8	1	OverlapOld	Malgré son sourire et son air engageant,	A pesar de su sonrisa y su aspecto atractivo
71.840	75.799	0.450	0	-1	1	OverlapNew	Chik chik chik a a	Chik chik chik a a
71.840	75.799	0.000	0	9	1	OverlapOld	la belle de Cadix n'y voit aucun amant.	La Bella de Cádiz no ve a ningún amante.
75.799	79.799	0.450	0	-1	1	OverlapOld	Chik chik chik a a	Chik chik chik a a
75.799	79.799	0.600	0	-1	2	OverlapNew	chik chik a a	Chik chik a a
79.799	83.520	0.400	0	-1	2	OverlapNew	chik chika chik a a	chik chika chik a a
79.799	83.520	0.600	0	-1	2	OverlapOld	chik chik a a	Chik chik a a
83.520	87.600	0.150	0	-1	1	OverlapNew	ne veux pas d'un aimant.	No quieres un imán.
83.520	87.600	0.400	0	-1	2	OverlapOld	chik chika chik a a	chik chika chik a a
87.600	91.799	0.156	0	-1	1	OverlapNew	La belle de Cadix a des yeux langeux. La	La hermosa Cádiz tiene ojos langosos.
87.600	91.799	0.150	0	-1	1	OverlapOld	ne veux pas d'un aimant.	No quieres un imán.
91.799	95.479	0.156	0	-1	1	OverlapOld	La belle de Cadix a des yeux langeux. La	La hermosa Cádiz tiene ojos langosos.
91.799	95.479	0.062	0	-1	2	OverlapNew	belle de Cadix a beaucoup d'amoureux.	Bella Cádiz tiene muchos enamorados.
95.479	99.520	0.324	0	-1	1	OverlapNew	Juanito de la babal, tu es bien un	Juanito de la baba, eres un hombre
95.479	99.520	0.062	0	-1	2	OverlapOld	belle de Cadix a beaucoup d'amoureux.	Bella Cádiz tiene muchos enamorados.
99.520	102.520	0.842	0	-1	0	OverlapNew	rival.	rival.
99.520	102.520	0.324	0	-1	1	OverlapOld	Juanito de la babal, tu es bien un	Juanito de la baba, eres un hombre
103.560	106.079	0.296	0	-1	1	Default	Un soir au clair de lune et brus le	Una noche a la luz de la luna y quemado el
106.079	111.520	0.371	0	-1	1	OverlapNew	palmitau pour l'aimer plus au corps	palmitau para amar más al cuerpo
106.079	111.520	0.296	0	-1	1	OverlapOld	Un soir au clair de lune et brus le	Una noche a la luz de la luna y quemado el
111.520	115.079	0.457	0	-1	1	OverlapNew	donnerait une fortune malgré son sourire	daría una fortuna a pesar de su sonrisa
111.520	115.079	0.371	0	-1	1	OverlapOld	palmitau pour l'aimer plus au corps	palmitau para amar más al cuerpo
115.079	119.399	0.485	0	-1	0	OverlapNew	et son air engageant.	Y su aspecto atractivo.
115.079	119.399	0.457	0	-1	1	OverlapOld	donnerait une fortune malgré son sourire	daría una fortuna a pesar de su sonrisa
119.560	122.600	0.161	0	-1	1	Default	La belle de Cadix ne veut pas d'un	La hermosa Cádiz no quiere un
122.600	123.799	0.750	0	-1	1	OverlapNew	amant.	Amante.
122.600	123.799	0.161	0	-1	1	OverlapOld	La belle de Cadix ne veut pas d'un	La hermosa Cádiz no quiere un
123.799	127.759	0.750	0	-1	1	OverlapOld	amant.	Amante.
123.799	127.759	0.450	0	-1	2	OverlapNew	Chik chik chik a a	Chik chik chik a a
127.759	133.599	0.567	0	-1	1	OverlapNew	chik chik chik aï aï. A chik chika chik	Chik chik chik ai ai. Chik chika chik
127.759	133.599	0.450	0	-1	2	OverlapOld	Chik chik chik a a	Chik chik chik a a
133.599	135.519	0.947	0	-1	1	OverlapNew	a	a
133.599	135.519	0.567	0	-1	1	OverlapOld	chik chik chik aï aï. A chik chika chik	Chik chik chik ai ai. Chik chika chik
135.519	139.560	0.947	0	-1	1	OverlapOld	a	a
135.519	139.560	0.095	0	-1	2	OverlapNew	ne veuxons pas d'un aimant.	No queremos un imán.
139.560	143.599	0.000	0	14	1	OverlapNew	La belle de Cadix a des yeux langoureux.	La Bella de Cádiz tiene ojos languidos
139.560	143.599	0.095	0	-1	2	OverlapOld	ne veuxons pas d'un aimant.	No queremos un imán.
143.599	147.480	0.000	0	15	1	OverlapNew	La belle de Cadix a beaucoup d'amoureux.	La Bella de Cádiz tiene muchos enamorados
143.599	147.480	0.000	0	14	1	OverlapOld	La belle de Cadix a des yeux langoureux.	La Bella de Cádiz tiene ojos languidos
147.480	154.519	0.243	0	-1	0	OverlapNew	Ranito de la babal tu es bien un rival.	Ranito de la baba eres un rival.
147.480	154.519	0.000	0	15	1	OverlapOld	La belle de Cadix a beaucoup d'amoureux.	La Bella de Cádiz tiene muchos enamorados
171.120	175.040	0.657	0	-1	1	Default	Et le bruit toutes les guid	Y el ruido todo el mundo
175.040	179.360	0.667	0	-1	1	OverlapNew	et par un beau clair matin,	Y por la mañana,
175.040	179.360	0.657	0	-1	1	OverlapOld	Et le bruit toutes les guid	Y el ruido todo el mundo
179.360	183.519	0.767	0	-1	1	OverlapNew	elle a pris le chemin qui mène sans ta	Ella tomó el camino que conduce sin tu
179.360	183.519	0.667	0	-1	1	OverlapOld	et par un beau clair matin,	Y por la mañana,
183.519	186.519	0.789	0	-1	0	OverlapNew	fille.	Niña.
183.519	186.519	0.767	0	-1	1	OverlapOld	elle a pris le chemin qui mène sans ta	Ella tomó el camino que conduce sin tu
187.560	191.599	0.323	0	-1	1	Default	La belle de Cadix n'a jamais eu d'amand.	La bella de Cádiz nunca tuvo un amanda.
191.599	196.280	0.406	0	-1	1	OverlapNew	La belle de Cadix est entrée au couvent.	La hermosa de Cádiz entró en el convento.
191.599	196.280	0.323	0	-1	1	OverlapOld	La belle de Cadix n'a jamais eu d'amand.	La bella de Cádiz nunca tuvo un amanda.
196.280	199.280	0.850	0	-1	0	OverlapNew	Cika	Cika
196.280	199.280	0.406	0	-1	1	OverlapOld	La belle de Cadix est entrée au couvent.	La hermosa de Cádiz entró en el convento.
199.799	203.280	0.700	0	-1	0	Default	cika cika	cika cika
203.799	207.280	0.700	0	-1	0	Default	cika cika	cika cika
213.879	217.879	0.850	0	-1	0	Default	a A a	a A a
